Word as published	Occurrences	Cyrillic codepoints	Correct Latin form	Search-replace pair
fоr	241	о = U+043E	for	for  <-  fоr
tо	241	о = U+043E	to	to  <-  tо
оf	164	о = U+043E	of	of  <-  оf
yоur	157	о = U+043E	your	your  <-  yоur
Prоtectiоns	150	о = U+043E	Protections	Protections  <-  Prоtectiоns
оn	137	о = U+043E	on	on  <-  оn
саn	122	а = U+0430 с = U+0441	can	can  <-  саn
yоu	122	о = U+043E	you	you  <-  yоu
Regulatiоn	112	о = U+043E	Regulation	Regulation  <-  Regulatiоn
оr	110	о = U+043E	or	or  <-  оr
cоmpensatiоn	98	о = U+043E	compensation	compensation
аnԁ	90	а = U+0430 ԁ = U+0501	and	and  <-  аnԁ
mоre	87	о = U+043E	more	more  <-  mоre
Yоur	86	о = U+043E	Your	Your  <-  Yоur
hоurs	85	о = U+043E	hours	hours  <-  hоurs
cancellatiоn	84	о = U+043E	cancellation	cancellation  <-  cancellatiоn
ԁelаyeԁ	83	а = U+0430 ԁ = U+0501	delayed	delayed  <-  ԁelаyeԁ
prоvides	81	о = U+043E	provides	provides  <-  prоvides
cоmmоn	81	о = U+043E	common	common  <-  cоmmоn
оverbооking.	81	о = U+043E	overbooking.	overbooking.  <-  оverbооking.
сlаim	72	а = U+0430 с = U+0441	claim	claim  <-  сlаim
muсh	71	с = U+0441	much	much  <-  muсh
саnсellаtions	70	а = U+0430 с = U+0441	cancellations	cancellations  <-  саnсellаtions
аffeсteԁ	69	а = U+0430 с = U+0441 ԁ = U+0501	affected	affected  <-  аffeсteԁ
сlаim.	68	а = U+0430 с = U+0441	claim.	claim.  <-  сlаim.
seаts,	62	а = U+0430	seats,	seats,  <-  seаts,
toԁаy	62	а = U+0430 ԁ = U+0501	today	today  <-  toԁаy
аrrivаls,	61	а = U+0430	arrivals,	arrivals,  <-  аrrivаls,
аre	57	а = U+0430	are	are  <-  аre
сomрensаtion	53	а = U+0430 р = U+0440 с = U+0441	compensation	compensation  <-  сomрensаtion
Yоu	48	о = U+043E	You	You  <-  Yоu
аt	46	а = U+0430	at	at  <-  аt
prоtected	43	о = U+043E	protected	protected  <-  prоtected
